URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-04-01/2024-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-04-01 to 2024-05-01","weekdays",false,63,14.745,884.671,850.697,921.004
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-07-01/2022-08-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-07-01 to 2022-08-01","weekdays",false,60,7.932,475.9,451.108,496.227
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-06-01/2022-07-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-06-01 to 2022-07-01","weekdays",false,66,8.106,486.39,461.816,502.14
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-05-01/2022-06-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-05-01 to 2022-06-01","weekdays",false,63,8.5,510.025,490.9,521.837
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-04-01/2022-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-04-01 to 2022-05-01","weekdays",false,57,8.264,495.845,476.733,528.023
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-03-01/2022-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-03-01 to 2022-04-01","weekdays",false,69,7.554,453.266,434.371,476.445
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-02-01/2024-03-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-02-01 to 2024-03-01","weekdays",false,60,11.78,706.802,684.876,734.715
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-03-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-03-01 to 2024-04-01","weekdays",false,60,11.969,718.121,688.19,745.609
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-01-01/2024-02-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-01-01 to 2024-02-01","weekdays",false,66,11.065,663.898,641.444,689.293
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-12-01/2024-01-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-12-01 to 2024-01-01","weekdays",false,57,11.187,671.217,640.004,709.281
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-11-01/2023-12-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-11-01 to 2023-12-01","weekdays",false,66,11.444,686.647,646.963,718.091
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-10-01/2023-11-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-10-01 to 2023-11-01","weekdays",false,63,11.154,669.269,622.817,705.941
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-09-01/2023-10-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-09-01 to 2023-10-01","weekdays",false,60,10.353,621.209,571.957,658.886
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-08-01/2023-09-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-08-01 to 2023-09-01","weekdays",false,66,8.03,481.777,466.963,502.873
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-07-01/2023-08-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-07-01 to 2023-08-01","weekdays",false,60,7.79,467.415,445.329,505.077
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-06-01/2023-07-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-06-01 to 2023-07-01","weekdays",false,66,8.532,511.906,476.177,537.509
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-05-01/2023-06-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-05-01 to 2023-06-01","weekdays",false,66,8.715,522.878,509.283,548.771
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-04-01/2023-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-04-01 to 2023-05-01","weekdays",false,54,8.085,485.071,466.194,511.926
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-03-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-03-01 to 2023-04-01","weekdays",false,69,7.25,435.01,423.239,447.697
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-02-01/2023-03-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-02-01 to 2023-03-01","weekdays",false,57,7.952,477.093,460.308,492.973
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-01-01/2023-02-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-01-01 to 2023-02-01","weekdays",false,63,7.616,456.946,433.636,485.358
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-12-01/2023-01-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-12-01 to 2023-01-01","weekdays",false,60,8.709,522.555,504.685,546.435
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-11-01/2022-12-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-11-01 to 2022-12-01","weekdays",false,66,8.399,503.939,481.444,526.959
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-10-01/2022-11-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-10-01 to 2022-11-01","weekdays",false,60,8.181,490.861,465.182,509.494
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-09-01/2022-10-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-09-01 to 2022-10-01","weekdays",false,63,8.864,531.83,469.229,558.947
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-08-01/2022-09-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-08-01 to 2022-09-01","weekdays",false,66,7.5,449.986,430.375,463.318
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-04-01/2024-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-04-01 to 2024-05-01","weekdays",false,63,12.598,755.857,720.307,795.882
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-07-01/2022-08-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-07-01 to 2022-08-01","weekdays",false,60,7.483,448.987,429.406,463.593
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-06-01/2022-07-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-06-01 to 2022-07-01","weekdays",false,66,7.701,462.048,451.344,474.184
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-05-01/2022-06-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-05-01 to 2022-06-01","weekdays",false,63,7.747,464.798,448.784,482.897
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-04-01/2022-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-04-01 to 2022-05-01","weekdays",false,57,7.539,452.337,431.945,472.41
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-03-01/2022-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-03-01 to 2022-04-01","weekdays",false,69,7.123,427.385,409.885,448.611
