URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,sample,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-09-01/2022-10-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-09-01 to 2022-10-01","weekdays",false,63,38,8.89920102226947,533.9520613361682,500.3236692925517,556.1356624084683
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-08-01/2022-09-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-08-01 to 2022-09-01","weekdays",false,66,39,7.543711615456388,452.6226969273833,437.3361704160722,466.0209386682198
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-04-01/2024-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-04-01 to 2024-05-01","weekdays",false,63,63,14.74451851786879,884.6711110721275,838.5947184846591,915.8563714459576
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-07-01/2022-08-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-07-01 to 2022-08-01","weekdays",false,60,29,7.931668830859231,475.90012985155386,448.49880319773195,501.20894310387246
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-06-01/2022-07-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-06-01 to 2022-07-01","weekdays",false,66,48,8.106494178084334,486.38965068506,460.2129261285852,502.91487451085794
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-05-01/2022-06-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-05-01 to 2022-06-01","weekdays",false,63,50,8.500412708275334,510.02476249652005,493.46016928816636,526.2988986602928
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-04-01/2022-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-04-01 to 2022-05-01","weekdays",false,57,42,8.264091049165131,495.84546294990787,474.3554731432089,523.6212640342474
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-03-01/2022-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-03-01 to 2022-04-01","weekdays",false,69,50,7.554431934317638,453.26591605905827,431.7410084705949,479.9031612134061
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-02-01/2024-03-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-02-01 to 2024-03-01","weekdays",false,60,60,11.780034969543916,706.8020981726349,687.2341311452639,730.4437192510804
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-03-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-03-01 to 2024-04-01","weekdays",false,60,60,11.968676163973287,718.1205698383972,680.7502020977525,750.6689092287307
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-01-01/2024-02-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-01-01 to 2024-02-01","weekdays",false,66,66,11.064963710277878,663.8978226166727,638.3171866494293,687.6865269583749
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-12-01/2024-01-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-12-01 to 2024-01-01","weekdays",false,57,44,11.186943059371064,671.2165835622638,638.8017944586877,714.2193010053961
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-11-01/2023-12-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-11-01 to 2023-12-01","weekdays",false,66,40,11.444119774139711,686.6471864483826,658.5623855963777,728.3218884409993
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-10-01/2023-11-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-10-01 to 2023-11-01","weekdays",false,63,36,11.154489924970635,669.269395498238,616.4586157358058,709.0240471539234
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-09-01/2023-10-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-09-01 to 2023-10-01","weekdays",false,60,33,10.353484005588022,621.2090403352813,570.0723396291194,657.7423125377646
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-08-01/2023-09-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-08-01 to 2023-09-01","weekdays",false,66,42,8.029623307572315,481.77739845433894,465.29611737415917,498.41736564006084
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-07-01/2023-08-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-07-01 to 2023-08-01","weekdays",false,60,37,7.7902513699157305,467.4150821949438,445.81558006567263,494.99646927296476
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-06-01/2023-07-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-06-01 to 2023-07-01","weekdays",false,66,39,8.531768807097318,511.90612842583914,471.7069873954654,540.7305140782331
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-05-01/2023-06-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-05-01 to 2023-06-01","weekdays",false,66,52,8.714631185762705,522.8778711457624,505.58158050345514,546.4954303101658
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-04-01/2023-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-04-01 to 2023-05-01","weekdays",false,54,43,8.084508916862815,485.0705350117689,462.5640171208455,515.5212390985276
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-03-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-03-01 to 2023-04-01","weekdays",false,69,56,7.250164069985109,435.00984419910657,421.91845967223605,450.7872824314514
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-02-01/2023-03-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-02-01 to 2023-03-01","weekdays",false,57,37,7.95155011654243,477.0930069925458,459.5880106916957,492.6195583454445
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2023-01-01/2023-02-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2023-01-01 to 2023-02-01","weekdays",false,63,43,7.615762499922557,456.9457499953534,435.69546368102675,483.9776979808594
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-12-01/2023-01-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-12-01 to 2023-01-01","weekdays",false,60,49,8.709246540050888,522.5547924030533,498.23145790364015,548.8842848937741
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-11-01/2022-12-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-11-01 to 2022-12-01","weekdays",false,66,52,8.398983011490603,503.93898068943616,476.41813473411975,528.5125499325654
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-10-01/2022-11-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-10-01 to 2022-11-01","weekdays",false,60,55,8.18101677711865,490.86100662711897,461.8907705271528,515.1844531651298
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-09-01/2022-10-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-09-01 to 2022-10-01","weekdays",false,63,46,8.863829076432834,531.82974458597,464.8661444184425,558.8344633479077
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-08-01/2022-09-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-08-01 to 2022-09-01","weekdays",false,66,54,7.499772885407437,449.98637312444623,428.8038679048679,467.88941334568983
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2024-04-01/2024-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2024-04-01 to 2024-05-01","weekdays",false,63,63,12.597612373795895,755.8567424277537,720.0798276406994,799.915830860047
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-07-01/2022-08-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-07-01 to 2022-08-01","weekdays",false,60,42,7.483114477000702,448.9868686200421,432.7483998916054,470.47041699036185
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-06-01/2022-07-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-06-01 to 2022-07-01","weekdays",false,66,54,7.700797549951982,462.0478529971189,450.684979544235,473.4989189754941
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-05-01/2022-06-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-05-01 to 2022-06-01","weekdays",false,63,54,7.7466330557266945,464.7979833436017,449.1205852837157,488.99260938195187
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-04-01/2022-05-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-04-01 to 2022-05-01","weekdays",false,57,48,7.538953340999794,452.3372004599876,430.5926684451371,476.09729081232496
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/19/2022-03-01/2022-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 19:00","From 2022-03-01 to 2022-04-01","weekdays",false,69,55,7.1230898344039355,427.3853900642361,410.2854105052339,445.1339941488358
